

           BASED ON NAD83 (June90 or NMIP94) DATUM           AUG. 6, 1997
         -------------------------------------------
       -  all co-ordinates are in UTM zone 14 unless otherwise stated.
       -  all co-ordinates are NAD83 (June90) unless otherwise stated.
                                                       UTM CO-ORDINATES
       STATION    LOCATION         ZONE  NAD83      EASTING        NORTHING
       7000479      WPG             14   JUNE90    625299.549     5523651.409
       7000480      WPG             14   JUNE90    625617.081     5524366.974
       7000481      WPG             14   JUNE90    625516.353     5524370.709
       7000482      WPG             14   JUNE90    625496.681     5524371.343
       7000483      WPG             14   JUNE90    625325.549     5524377.477
       7000484      WPG             14   JUNE90    625326.631     5524407.833
       7000485      WPG             14   JUNE90    625497.475     5524401.776
       7000486      WPG             14   JUNE90    624058.365     5524417.674
       7000487      WPG             14   JUNE90    624165.566     5524448.907
       7000488      WPG             14   JUNE90    624057.156     5524385.587
       7000489      WPG             14   JUNE90    623865.528     5524547.974
       7000490      WPG             14   JUNE90    623895.040     5524652.109
       7000491      WPG             14   JUNE90    624125.958     5525106.642
       7000492      WPG             14   JUNE90    622356.670     5523364.327
       7000493      WPG             14   JUNE90    623184.867     5523747.859
       7000494      WPG             14   JUNE90    623179.796     5523731.135
       7000495      WPG             14   JUNE90    622729.037     5523443.425
       7000496      WPG             14   JUNE90    622059.235     5523352.215
       7000497      WPG             14   JUNE90    623988.253     5522417.378
       7000498      WPG             14   JUNE90    624100.386     5525300.499
       7000499      WPG             14   JUNE90    624120.266     5525311.456
       7000500      WPG             14   JUNE90    624149.412     5525284.705
       7000501      WPG             14   JUNE90    624661.951     5524402.356
       7000502      WPG             14   JUNE90    624279.510     5524416.001
       7000503      WPG             14   JUNE90    624280.557     5524446.435
       7000504      WPG             14   JUNE90    624300.634     5524445.706
       7000505      WPG             14   JUNE90    624033.693     5523718.483
       7000506      WPG             14   JUNE90    624032.991     5523698.381
       7000507      WPG             14   JUNE90    625052.868     5524385.616
       7000508      WPG             14   JUNE90    625072.930     5524384.795
       7000509      WPG             14   JUNE90    625442.693     5522602.359
       7000510      WPG             14   JUNE90    628220.640     5534133.415
       7000511      WPG             14   JUNE90    628200.533     5534132.957
       7000512      WPG             14   JUNE90    627902.036     5534126.006
       7000513      WPG             14   JUNE90    627871.545     5534125.298
       7000514      WPG             14   JUNE90    627903.487     5534065.079
       7001001      WPG             14   JUNE90    621449.100     5526006.379
       7001002      WPG             14   JUNE90    621446.340     5525943.370
       7001003      WPG             14   JUNE90    621556.570     5525938.890
       7001004      WPG             14   JUNE90    621572.950     5525857.000
       7001005      WPG             14   JUNE90    621572.150     5525838.769
       7001006      WPG             14   JUNE90    621552.290     5525839.809
       7001007      WPG             14   JUNE90    621547.190     5525722.239
       7001008      WPG             14   JUNE90    621545.010     5525672.029
       7001009      WPG             14   JUNE90    621541.440     5525588.299
       7001010      WPG             14   JUNE90    621628.120     5525566.359
       7001011      WPG             14   JUNE90    621448.570     5525569.169
       7001012      WPG             14   JUNE90    621367.913     5525572.667
       7001013      WPG             14   JUNE90    621371.147     5525469.473
       7001014      WPG             14   JUNE90    621446.219     5525466.201
       7001015      WPG             14   JUNE90    621737.460     5525605.719
       7001016      WPG             14   JUNE90    621739.730     5525658.079
       7001017      WPG             14   JUNE90    621742.530     5525723.829
       7001018      WPG             14   JUNE90    621809.625     5525654.929
       7001019      WPG             14   JUNE90    621640.437     5525854.061
       7001020      WPG             14   JUNE90    621727.677     5525847.160
       7001021      WPG             14   JUNE90    621747.266     5525834.133
       7001022      WPG             14   JUNE90    621750.524     5525911.956
       7001023      WPG             14   JUNE90    621818.716     5525927.158
       7001024      WPG             14   JUNE90    621901.878     5525827.388
       7001025      WPG             14   JUNE90    621921.944     5525826.529
       7001026      WPG             14   JUNE90    621917.989     5525734.592
       7001027      WPG             14   JUNE90    621917.187     5525716.499
       7001028      WPG             14   JUNE90    621929.418     5525999.387
       7001029      WPG             14   JUNE90    622033.560     5525801.588
       7001030      WPG             14   JUNE90    622103.586     5525796.343
       7001031      WPG             14   JUNE90    621365.130     5525469.671
       7001034      WPG             14   JUNE90    622135.696     5525672.397
       7001036      WPG             14   JUNE90    622125.598     5525437.372
       7001037      WPG             14   JUNE90    621906.860     5525473.090
       7001038      WPG             14   JUNE90    622042.753     5525551.466
       7001039      WPG             14   JUNE90    621653.109     5525683.050
       7001040      WPG             14   JUNE90    621187.767     5524822.996
       7001041      WPG             14   JUNE90    621177.738     5524766.519
       7001042      WPG             14   JUNE90    621017.554     5524808.016
       7001043      WPG             14   JUNE90    621020.146     5524866.412
       7001044      WPG             14   JUNE90    620985.512     5524871.049
       7001045      WPG             14   JUNE90    620900.580     5524897.480
       7001046      WPG             14   JUNE90    620784.082     5524938.668
       7001047      WPG             14   JUNE90    620939.499     5524822.567
       7001048      WPG             14   JUNE90    620897.604     5524830.452
       7001049      WPG             14   JUNE90    620780.116     5524852.372
       7001050      WPG             14   JUNE90    620708.667     5524835.009
       7001051      WPG             14   JUNE90    620659.155     5524781.049
       7001052      WPG             14   JUNE90    621270.074     5525040.527
